Congruent,Incongruent,Congruent Mean,Incongruent Mean,Congruent median,Incongruent median,Congruent Standard Dev,Incongruent Standard Dev,,,,,SEM,
12.079,19.278,14.051125,22.01591667,14.3565,21.0175,3.56E+00,4.80E+00,7.199,7.964791667,0.586436882,4.86482691,0.993028635,8.020706944
16.791,18.741,,,,,,,1.95,,36.17771883,,,
9.564,21.214,,,,,,,11.65,,13.58076044,,,
8.63,15.687,,,,,,,7.057,,0.824085716,,,
14.669,22.803,,,,,,,8.134,,0.028631459,,,
12.238,20.878,,,,,,,8.64,,0.455906289,,,
14.692,24.572,,,,,,,9.88,,3.668022947,,,
8.987,17.394,,,,,,,8.407,,0.195548207,,,
9.401,20.762,,,,,,,11.361,,11.53423102,,,
14.48,26.282,,,,,,,11.802,,14.72416777,,,
22.328,24.524,,,,,,,2.196,,33.27895733,,,
15.298,18.644,,,,,,,3.346,,21.33323649,,,
15.073,17.51,,,,,,,2.437,,30.55648075,,,
16.929,20.33,,,,,,,3.401,,20.82819441,,,
18.2,35.255,,,,,,,17.055,,82.63188748,,,
12.13,22.158,,,,,,,10.028,,4.256828613,,,
18.495,25.139,,,,,,,6.644,,1.744490636,,,
10.639,20.429,,,,,,,9.79,,3.331385448,,,
11.344,17.425,,,,,,,6.081,,3.548671056,,,
12.369,34.288,,,,,,,21.919,,194.7199301,,,
12.944,23.894,,,,,,,10.95,,8.911468774,,,
14.233,17.96,,,,,,,3.727,,17.95887824,,,
19.71,22.058,,,,,,,2.348,,31.54834866,,,
16.004,21.157,,,,,,,5.153,,7.906172395,,,
